Category,Year,Laureate
Physics,Albert Fert;Peter Grünberg,Gerhard Ertl
Physics,Yoichiro Nambu;Makoto Kobayashi;Toshihide Maskawa,Osamu Shimomura
Physics,Yoichiro Nambu;Makoto Kobayashi;Toshihide Maskawa,Martin Chalfie
Physics,Yoichiro Nambu;Makoto Kobayashi;Toshihide Maskawa,Roger Y. Tsien
Physics,Charles K. Kao;Willard S. Boyle;George E. Smith,Venkatraman Ramakrishnan
Physics,Charles K. Kao;Willard S. Boyle;George E. Smith,Thomas A. Steitz
Physics,Charles K. Kao;Willard S. Boyle;George E. Smith,Ada Yonath
Physics,Andre Geim;Konstantin Novoselov,Richard F. Heck
Physics,Andre Geim;Konstantin Novoselov,Ei-ichi Negishi
Physics,Andre Geim;Konstantin Novoselov,Akira Suzuki
Physics,Saul Perlmutter;Adam Riess;Brian Schmidt,Dan Shechtman
Physics,Serge Haroche;David J. Wineland,Brian K. Kobilka
Physics,Serge Haroche;David J. Wineland,Robert J. Lefkowitz
Physics,François Englert;Peter W. Higgs,Martin Karplus
Physics,François Englert;Peter W. Higgs,Michael Levitt
Physics,François Englert;Peter W. Higgs,Arieh Warshel
Physics,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,Eric Betzig
Physics,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,Stefan Hell
Physics,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,William Moerner
Physics,Takaaki Kajita;Arthur B. McDonald,Tomas Lindahl
Physics,Takaaki Kajita;Arthur B. McDonald,Paul L. Modrich
Physics,Takaaki Kajita;Arthur B. McDonald,Aziz Sancar
Physics,David J. Thouless;Duncan Haldane;John M. Kosterlitz,Jean-Pierre Sauvage
Physics,David J. Thouless;Duncan Haldane;John M. Kosterlitz,Fraser Stoddart
Physics,David J. Thouless;Duncan Haldane;John M. Kosterlitz,Ben Feringa
Physics,Rainer Weiss;Barry Barish;Kip Thorne,Jacques Dubochet
Physics,Rainer Weiss;Barry Barish;Kip Thorne,Joachim Frank
Physics,Rainer Weiss;Barry Barish;Kip Thorne,Richard Henderson
Physics,Arthur Ashkin;Gérard Mourou;Donna Strickland,Frances H. Arnold
Physics,Arthur Ashkin;Gérard Mourou;Donna Strickland,George Smith
Physics,Arthur Ashkin;Gérard Mourou;Donna Strickland,Greg Winter
Physics,Jim Peebles;Michel Mayor;Didier Queloz,John B. Goodenough
Physics,Jim Peebles;Michel Mayor;Didier Queloz,M. Stanley Whittingham
Physics,Jim Peebles;Michel Mayor;Didier Queloz,Akira Yoshino
Physics,Roger Penrose;Reinhard Genzel;Andrea M. Ghez,Emmanuelle Charpentier
Physics,Roger Penrose;Reinhard Genzel;Andrea M. Ghez,Jennifer Doudna
Physics,Giorgio Parisi;Klaus Hasselmann;Syukuro Manabe,Benjamin List
Physics,Giorgio Parisi;Klaus Hasselmann;Syukuro Manabe,David MacMillan
Physics,Alain Aspect;John Clauser;Anton Zeilinger,Carolyn Bertozzi
Physics,Alain Aspect;John Clauser;Anton Zeilinger,Morten P. Meldal
Physics,Alain Aspect;John Clauser;Anton Zeilinger,Karl Barry Sharpless
Physics,Pierre Agostini;Ferenc Krausz;Anne L'Huillier,Moungi Bawendi
Physics,Pierre Agostini;Ferenc Krausz;Anne L'Huillier,Louis E. Brus
Physics,Pierre Agostini;Ferenc Krausz;Anne L'Huillier,Alexey Ekimov
Physics,John Hopfield;Geoffrey Hinton,David Baker
Physics,John Hopfield;Geoffrey Hinton,Demis Hassabis
Physics,John Hopfield;Geoffrey Hinton,John M. Jumper
